vendorName,taxCategory,referenceNumber,reconciled,notes,ledgerDescription,id,entryType,debitAmount,date,creditAmount,checkNumber,balance,amount,accountName,accountCode,iosSymbol,emoji
Farm Co-op,No Tax,REF-1916,True,Billy the Mountain requested cash.,Equity contribution by Frank,59393,Expense,0.0,2025-07-20 07:18:00,95.5,CHK-6770,1318.44,95.5,Insurance,5900,folder,🧾
Tractor Depot,No Tax,REF-2608,True,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,32272,Tax,0.0,2025-07-20 09:47:00,537.79,CHK-8664,4216.34,537.79,Accounts Receivable,1100,calendar,🚜
Johnny's Seeds,No Tax,REF-9962,False,Paid in kale chips and weird looks.,Tractor repair service,35625,Sale,663.48,2025-07-20 07:00:00,0.0,,1548.77,663.48,Sales - Value-Added Goods,4100,chart.bar,🌽
Muffin Utility Inc.,Use Tax,REF-1415,True,Eggplant royalty dispute resolved.,Purchase of heirloom tomato seeds,79575,Invoice,343.48,2025-07-20 08:10:00,0.0,,4375.03,343.48,Fertilizer & Compost,5200,globe,🏡
Zappa Solar,Use Tax,REF-3811,True,"This ain’t the garden of Eden, man.",Payment for organic compost delivery,59394,Payment,0.0,2025-07-20 09:05:00,189.68,,1608.57,189.68,Insurance,5900,briefcase,💸
Muffin Utility Inc.,Use Tax,REF-6502,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,92162,Expense,0.0,2025-07-20 14:41:00,1065.68,,1281.0,1065.68,Inventory,1200,calendar,🛠
Johnny's Seeds,Use Tax,REF-7051,False,Mic’d the compost for microbial jazz.,Purchase of heirloom tomato seeds,96846,Expense,0.0,2025-07-20 16:26:00,1002.55,,3105.25,1002.55,Prepaid Expenses,1300,hammer,📅
Farm Co-op,No Tax,REF-7114,False,Mic’d the compost for microbial jazz.,Utility payment: irrigation pump,63760,Invoice,565.77,2025-07-20 11:59:00,0.0,,1602.35,565.77,Accounts Payable,2000,hammer,🌱
USDA,No Tax,REF-5412,True,Paid in kale chips and weird looks.,Sale at Saturday farmer's market,68562,Expense,0.0,2025-07-20 16:43:00,264.58,CHK-1979,3206.74,264.58,Payroll Expenses,5500,chart.bar,🧑‍🌾
Muffin Utility Inc.,Sales Tax,REF-4570,True,Mic’d the compost for microbial jazz.,Tractor repair service,85401,Payroll,0.0,2025-07-20 09:27:00,906.51,,4417.09,906.51,Inventory,1200,hammer,🐝
Farm Co-op,Use Tax,REF-2661,False,Someone painted the barn plaid again.,Weekly payroll distribution,12761,Tax,667.72,2025-07-20 11:47:00,0.0,CHK-7311,1928.04,667.72,Inventory,1200,gear,🔧
Muffin Utility Inc.,Sales Tax,REF-3079,True,Beware of the Central Scrutinizer.,Sale at Saturday farmer's market,26972,Sale,0.0,2025-07-20 15:23:00,892.87,CHK-1435,3487.55,892.87,Prepaid Expenses,1300,book,🐄
Farm Co-op,Use Tax,REF-6858,True,"This ain’t the garden of Eden, man.",Equity contribution by Frank,44218,Payment,264.59,2025-07-20 14:22:00,0.0,CHK-2156,2442.6,264.59,Cash,1000,hammer,🧑‍🌾
Muffin Utility Inc.,No Tax,REF-2363,True,"This ain’t the garden of Eden, man.",Weekly payroll distribution,20049,Expense,1032.99,2025-07-20 07:04:00,0.0,,1294.05,1032.99,Repairs & Maintenance,5400,tray,🐄
USDA,Sales Tax,REF-2993,False,Paid in kale chips and weird looks.,Purchase of heirloom tomato seeds,22481,Equity Contribution,967.89,2025-07-20 09:26:00,0.0,,3335.34,967.89,Depreciation,6000,tractor,🏡
USDA,Sales Tax,REF-6620,True,Mic’d the compost for microbial jazz.,Sale at Saturday farmer's market,81402,Expense,242.53,2025-07-20 11:55:00,0.0,CHK-6239,1566.21,242.53,Sales - Value-Added Goods,4100,hammer,🧑‍🌾
Zappa Solar,Use Tax,REF-7028,False,"This ain’t the garden of Eden, man.",Weekly payroll distribution,56736,Expense,0.0,2025-07-20 11:47:00,200.85,,1251.18,200.85,Professional Services,5800,cart,🥕
Johnny's Seeds,Use Tax,REF-5363,False,Billy the Mountain requested cash.,Payment for organic compost delivery,42493,Expense,0.0,2025-07-20 07:59:00,565.47,CHK-9364,4363.78,565.47,Fertilizer & Compost,5200,folder,🥕
Tractor Depot,Sales Tax,REF-9107,True,Someone painted the barn plaid again.,Equity contribution by Frank,28718,Invoice,120.67,2025-07-20 07:02:00,0.0,,3966.8,120.67,Owner's Equity,3000,externaldrive,🧑‍🌾
Farm Co-op,Use Tax,REF-4419,False,Eggplant royalty dispute resolved.,Weekly payroll distribution,27729,Payment,0.0,2025-07-20 16:21:00,572.35,CHK-9676,4220.96,572.35,Taxes Payable,2200,globe,🥕
Farm Co-op,Use Tax,REF-5228,False,Billy the Mountain requested cash.,Equity contribution by Frank,87810,Sale,130.42,2025-07-20 12:29:00,0.0,,4466.51,130.42,Wages Payable,2100,leaf,📦
USDA,Use Tax,REF-8403,False,Eggplant royalty dispute resolved.,Weekly payroll distribution,52254,Equity Contribution,294.58,2025-07-20 15:32:00,0.0,,2579.52,294.58,Repairs & Maintenance,5400,wrench,📅
Compost Collective,Sales Tax,REF-6286,True,"This ain’t the garden of Eden, man.",Weekly payroll distribution,75515,Invoice,0.0,2025-07-20 18:15:00,166.18,CHK-8999,2381.12,166.18,Depreciation,6000,wrench,🥕
Tractor Depot,Use Tax,REF-5698,False,Eggplant royalty dispute resolved.,Payment for organic compost delivery,99009,Payroll,0.0,2025-07-20 17:46:00,1184.19,,1328.79,1184.19,Owner's Equity,3000,cart,💸
USDA,No Tax,REF-2222,True,Eggplant royalty dispute resolved.,Tractor repair service,39617,Expense,0.0,2025-07-20 15:55:00,891.92,CHK-5717,1822.59,891.92,Taxes Payable,2200,plusminus,💼
USDA,Sales Tax,REF-1027,False,Eggplant royalty dispute resolved.,Payment for organic compost delivery,48873,Sale,0.0,2025-07-20 11:11:00,360.25,,2452.96,360.25,Cost of Goods Sold,5000,briefcase,🏡
Johnny's Seeds,No Tax,REF-6868,False,Beware of the Central Scrutinizer.,Utility payment: irrigation pump,21312,Expense,0.0,2025-07-20 15:07:00,491.83,CHK-2197,2076.29,491.83,Prepaid Expenses,1300,gear,📅
USDA,No Tax,REF-3526,False,Paid in kale chips and weird looks.,Tractor repair service,33932,Payroll,0.0,2025-07-20 07:33:00,571.62,CHK-1645,2079.09,571.62,Seeds & Amendments,5100,folder,🛠
